seed,topology_model,n_cells,n_sites,edit_states,dominant_state_prob,missing_rate,mutation_rate,repeat,triplet_samples_requested,sampled_triplets_inferred,possible_triplets,sampled_triplet_coverage,min_signal_gap,simulation_seconds,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,status,error
805122026,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,0,50000,44577,22238720,0.89154,0.03,0.2206884639999771,ConfidentWeightedTMC_SMJ32,0.9918,0.3731193580742227,2.0168447199999946,61.41828972400003,ok,nan
805122026,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,0,50000,44577,22238720,0.89154,0.03,0.2206884639999771,VanillaGreedy,0.8622,0.6568627450980392,0.0,0.7941956290000007,ok,nan
805122026,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,0,50000,44577,22238720,0.89154,0.03,0.2206884639999771,UPGMA,0.9946,0.7,0.0,3.5441241660000173,ok,nan
805122026,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,0,50000,44577,22238720,0.89154,0.03,0.2206884639999771,NeighborJoining,0.9534,0.8235294117647058,0.0,5.048567241000001,ok,nan
805122027,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,1,50000,44282,22238720,0.88564,0.03,0.2725218620000191,ConfidentWeightedTMC_SMJ32,0.9894,0.3554216867469879,2.0422279210000056,58.71991300800005,ok,nan
805122027,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,1,50000,44282,22238720,0.88564,0.03,0.2725218620000191,VanillaGreedy,0.937,0.6607843137254902,0.0,0.7947346180000068,ok,nan
805122027,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,1,50000,44282,22238720,0.88564,0.03,0.2725218620000191,UPGMA,0.7972,0.7274509803921569,0.0,1.244644446000052,ok,nan
805122027,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,1,50000,44282,22238720,0.88564,0.03,0.2725218620000191,NeighborJoining,0.8382,0.8411764705882353,0.0,1.3359911159999456,ok,nan
805122028,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,2,50000,44831,22238720,0.89662,0.03,0.1900145009999505,ConfidentWeightedTMC_SMJ32,0.9834,0.3895582329317268,1.694745070999943,61.36886814299999,ok,nan
805122028,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,2,50000,44831,22238720,0.89662,0.03,0.1900145009999505,VanillaGreedy,0.9248,0.6280667320902846,0.0,1.252712545999998,ok,nan
805122028,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,2,50000,44831,22238720,0.89662,0.03,0.1900145009999505,UPGMA,0.8554,0.7372549019607844,0.0,1.3386824090000573,ok,nan
805122028,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,2,50000,44831,22238720,0.89662,0.03,0.1900145009999505,NeighborJoining,0.8172,0.8529411764705882,0.0,1.4013897610000186,ok,nan
805122029,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,3,50000,45383,22238720,0.90766,0.03,0.2431148709999888,ConfidentWeightedTMC_SMJ32,0.9946,0.4529058116232465,1.9298229260000423,61.81190467800002,ok,nan
805122029,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,3,50000,45383,22238720,0.90766,0.03,0.2431148709999888,VanillaGreedy,0.9536,0.611764705882353,0.0,1.0453588450000098,ok,nan
805122029,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,3,50000,45383,22238720,0.90766,0.03,0.2431148709999888,UPGMA,0.9994,0.7019607843137254,0.0,1.67701582899997,ok,nan
805122029,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,3,50000,45383,22238720,0.90766,0.03,0.2431148709999888,NeighborJoining,0.9434,0.8058823529411765,0.0,1.6889318790000516,ok,nan
805122030,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,4,50000,45518,22238720,0.91036,0.03,0.2020877769999742,ConfidentWeightedTMC_SMJ32,0.9932,0.4321608040201005,2.100354806999917,61.929394699,ok,nan
805122030,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,4,50000,45518,22238720,0.91036,0.03,0.2020877769999742,VanillaGreedy,0.9594,0.7262021589793916,0.0,0.854449819000024,ok,nan
805122030,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,4,50000,45518,22238720,0.91036,0.03,0.2020877769999742,UPGMA,0.9974,0.7588235294117647,0.0,1.369790949999924,ok,nan
805122030,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,4,50000,45518,22238720,0.91036,0.03,0.2020877769999742,NeighborJoining,0.9956,0.8470588235294118,0.0,1.6230200669999704,ok,nan
805122031,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,5,50000,46265,22238720,0.9253,0.03,0.4343897229999811,ConfidentWeightedTMC_SMJ32,0.9898,0.4148296593186372,2.043198879999977,59.05803857600006,ok,nan
805122031,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,5,50000,46265,22238720,0.9253,0.03,0.4343897229999811,VanillaGreedy,0.9562,0.5941176470588235,0.0,0.8859071020000329,ok,nan
805122031,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,5,50000,46265,22238720,0.9253,0.03,0.4343897229999811,UPGMA,0.9938,0.6352941176470588,0.0,1.2654440029999705,ok,nan
805122031,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,5,50000,46265,22238720,0.9253,0.03,0.4343897229999811,NeighborJoining,0.9996,0.7843137254901961,0.0,1.5743392719999747,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,ConfidentWeightedTMC_SMJ32,0.9976,0.4578313253012048,1.8572319979999747,65.070072955,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,VanillaGreedy,0.8542,0.603921568627451,0.0,0.8413026299999729,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,UPGMA,0.9826,0.7,0.0,1.5493431279999186,ok,nan
805122032,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,6,50000,45887,22238720,0.91774,0.03,0.1952096090000168,NeighborJoining,0.9558,0.7803921568627451,0.0,2.722945654999989,ok,nan
