seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122026,random_binary_leaf_splitting,512,30,0.1,0.8,0,50000,22238720,0.3004116409999824,48389,0.96778,SampledRecursiveTMC_SMJ32,0.5666,0.0,2.21415428399996,74.54537359800008,0.8012041409999711,ok,
305122026,random_binary_leaf_splitting,512,30,0.1,0.8,0,50000,22238720,0.3004116409999824,48389,0.96778,VanillaGreedy,0.6634,0.033333333333333326,0.0,1.4298579039999595,0.8151241649999292,ok,
305122026,random_binary_leaf_splitting,512,30,0.1,0.8,0,50000,22238720,0.3004116409999824,48389,0.96778,UPGMA,0.6282,0.04705882352941182,0.0,3.3207400469999584,0.8363481249999722,ok,
305122026,random_binary_leaf_splitting,512,30,0.1,0.8,0,50000,22238720,0.3004116409999824,48389,0.96778,NeighborJoining,0.5166,0.04117647058823526,0.0,4.88943301200004,0.814271260000055,ok,
305122027,random_binary_leaf_splitting,512,30,0.1,0.8,1,50000,22238720,0.23783419800008687,48349,0.96698,SampledRecursiveTMC_SMJ32,0.4662,0.0,1.750414702999933,67.83390583099992,0.7097631190000584,ok,
305122027,random_binary_leaf_splitting,512,30,0.1,0.8,1,50000,22238720,0.23783419800008687,48349,0.96698,VanillaGreedy,0.6482,0.027450980392156876,0.0,1.3891094109999358,0.7516387269999996,ok,
305122027,random_binary_leaf_splitting,512,30,0.1,0.8,1,50000,22238720,0.23783419800008687,48349,0.96698,UPGMA,0.602,0.039215686274509776,0.0,1.269563330999972,0.6885395400000789,ok,
305122027,random_binary_leaf_splitting,512,30,0.1,0.8,1,50000,22238720,0.23783419800008687,48349,0.96698,NeighborJoining,0.5218,0.03529411764705881,0.0,1.5246286309999277,0.8607015299999148,ok,
305122028,random_binary_leaf_splitting,512,30,0.1,0.8,2,50000,22238720,0.2085463079999954,48343,0.96686,SampledRecursiveTMC_SMJ32,0.663,0.0,1.6616315859999986,64.52276524699994,0.5853763829999252,ok,
305122028,random_binary_leaf_splitting,512,30,0.1,0.8,2,50000,22238720,0.2085463079999954,48343,0.96686,VanillaGreedy,0.5972,0.025490196078431393,0.0,0.78838090499994,0.727857606999919,ok,
305122028,random_binary_leaf_splitting,512,30,0.1,0.8,2,50000,22238720,0.2085463079999954,48343,0.96686,UPGMA,0.6168,0.039215686274509776,0.0,1.101916625000058,0.7623502789999748,ok,
305122028,random_binary_leaf_splitting,512,30,0.1,0.8,2,50000,22238720,0.2085463079999954,48343,0.96686,NeighborJoining,0.59,0.04117647058823526,0.0,1.2198183159999871,1.0264837680000483,ok,
305122029,random_binary_leaf_splitting,512,30,0.1,0.8,3,50000,22238720,0.28430517100002817,48261,0.96522,SampledRecursiveTMC_SMJ32,0.4936,0.0,1.7041792610000357,63.77163680199999,0.7523940080000102,ok,
305122029,random_binary_leaf_splitting,512,30,0.1,0.8,3,50000,22238720,0.28430517100002817,48261,0.96522,VanillaGreedy,0.5644,0.00588235294117645,0.0,0.8836588330000268,0.8253411809999989,ok,
305122029,random_binary_leaf_splitting,512,30,0.1,0.8,3,50000,22238720,0.28430517100002817,48261,0.96522,UPGMA,0.4596,0.02352941176470591,0.0,1.3277606959999275,0.7649991870000576,ok,
305122029,random_binary_leaf_splitting,512,30,0.1,0.8,3,50000,22238720,0.28430517100002817,48261,0.96522,NeighborJoining,0.4576,0.019607843137254943,0.0,1.1587526839999782,0.9922358909999502,ok,
305122030,random_binary_leaf_splitting,512,30,0.1,0.8,4,50000,22238720,0.22046969400003036,48486,0.96972,SampledRecursiveTMC_SMJ32,0.575,0.0,1.7020276409999724,69.92685531400002,0.8943175130000327,ok,
305122030,random_binary_leaf_splitting,512,30,0.1,0.8,4,50000,22238720,0.22046969400003036,48486,0.96972,VanillaGreedy,0.6766,0.03529411764705881,0.0,1.4189555520001704,0.9789571610001531,ok,
305122030,random_binary_leaf_splitting,512,30,0.1,0.8,4,50000,22238720,0.22046969400003036,48486,0.96972,UPGMA,0.6822,0.039215686274509776,0.0,1.4368082980001873,1.3406682739998814,ok,
305122030,random_binary_leaf_splitting,512,30,0.1,0.8,4,50000,22238720,0.22046969400003036,48486,0.96972,NeighborJoining,0.592,0.039215686274509776,0.0,2.1329309949999242,1.2153223549998984,ok,
305122031,random_binary_leaf_splitting,512,30,0.1,0.8,5,50000,22238720,0.5288208309998481,48370,0.9674,SampledRecursiveTMC_SMJ32,0.4494,0.0,2.7469461660000434,73.90583067599982,1.1353177969999706,ok,
