n_sites,edit_states,missing_rate,algorithm,n,triplet_mean,rf_mean,solve_mean
20,3,0.2,ConfidentWeightedTMC_SMJ32,2,0.8753,0.06321373759833715,48.176894290999996
20,3,0.2,NeighborJoining,2,0.738,0.2833333333333333,2.7890578579999925
20,3,0.2,UPGMA,2,0.8864000000000001,0.2627450980392156,1.818508077000004
20,3,0.2,VanillaGreedy,2,0.7311000000000001,0.1482693267986835,0.6331858264999966
20,3,0.3,ConfidentWeightedTMC_SMJ32,2,0.8427,0.0370741482965932,48.072953079
20,3,0.3,NeighborJoining,2,0.5866,0.1313725490196078,1.2025316965000172
20,3,0.3,UPGMA,2,0.6753,0.13431372549019605,1.1742701864999958
20,3,0.3,VanillaGreedy,2,0.5839000000000001,0.06967333102199616,0.8196457390000376
20,5,0.2,ConfidentWeightedTMC_SMJ32,2,0.9447,0.06622578579110824,47.505491611
20,5,0.2,NeighborJoining,2,0.7925,0.2980392156862745,1.0119197854999982
20,5,0.2,UPGMA,2,0.948,0.2686274509803921,1.0272506350000015
20,5,0.2,VanillaGreedy,2,0.9064,0.19347305851474444,0.6815690089999862
20,5,0.3,ConfidentWeightedTMC_SMJ32,2,0.8895,0.061211747692877794,49.79914182650003
20,5,0.3,NeighborJoining,2,0.6474,0.22156862745098033,1.1652271085000052
20,5,0.3,UPGMA,2,0.8561000000000001,0.2254901960784313,1.0809426199999734
20,5,0.3,VanillaGreedy,2,0.8576999999999999,0.13195473410651248,0.7997318795000297
30,3,0.2,ConfidentWeightedTMC_SMJ32,2,0.9096,0.07425791430516446,49.35775760499996
30,3,0.2,NeighborJoining,2,0.758,0.4274509803921569,1.0036690015000431
30,3,0.2,UPGMA,2,0.9774,0.40098039215686276,0.9888873035000075
30,3,0.2,VanillaGreedy,2,0.6948000000000001,0.17480768118456824,1.0489002145000086
30,3,0.3,ConfidentWeightedTMC_SMJ32,2,0.9431,0.0631895687061183,64.17763204449994
30,3,0.3,NeighborJoining,2,0.8832,0.33431372549019606,1.383356678499979
30,3,0.3,UPGMA,2,0.9539,0.3186274509803921,1.573592460499981
30,3,0.3,VanillaGreedy,2,0.8246,0.11685753947596736,1.31200600950001
30,5,0.2,ConfidentWeightedTMC_SMJ32,2,0.9546,0.09126485903533975,70.47252313949997
30,5,0.2,NeighborJoining,2,0.9668,0.4764705882352941,2.195453584500001
30,5,0.2,UPGMA,2,0.9635,0.45882352941176463,1.9285908680000146
30,5,0.2,VanillaGreedy,2,0.7347,0.2726750562835536,1.5381536854999922
30,5,0.3,ConfidentWeightedTMC_SMJ32,2,0.9139999999999999,0.06315137798164025,71.572570471
30,5,0.3,NeighborJoining,2,0.8607,0.346078431372549,1.6996246124998604
30,5,0.3,UPGMA,2,0.89,0.34215686274509804,1.5966404314999636
30,5,0.3,VanillaGreedy,2,0.7087,0.15392156862745093,1.427186238499985
