repeat,seed,n_cells,n_sites,edit_states,missing_rate,algorithm,possible_triplets,inferred_triplets,triplet_coverage,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds
0,6403005,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39196,0.9407642089093702,0.9492,0.8305084745762712,1.0900519180000003,9.848406245000007
0,6403005,64,30,3,0.0,VanillaGreedy,41664,39196,0.9407642089093702,0.7578,0.5,0.0,0.0707458269999961
0,6403005,64,30,3,0.0,UPGMA,41664,39196,0.9407642089093702,0.9992,0.9516129032258065,0.0,2.2150637940000024
0,6403005,64,30,3,0.0,NeighborJoining,41664,39196,0.9407642089093702,0.9988,0.9516129032258065,0.0,3.2763147109999977
1,6403006,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38714,0.9291954685099847,0.9242,0.9243697478991597,1.1548980649999976,5.641297712000011
1,6403006,64,30,3,0.0,VanillaGreedy,41664,38714,0.9291954685099847,0.8068,0.564516129032258,0.0,0.06311453700001834
1,6403006,64,30,3,0.0,UPGMA,41664,38714,0.9291954685099847,0.974,0.8870967741935484,0.0,0.4365174720000198
1,6403006,64,30,3,0.0,NeighborJoining,41664,38714,0.9291954685099847,0.9518,0.8548387096774194,0.0,0.4740952390000075
2,6403007,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39532,0.9488287250384024,0.941,0.847457627118644,1.1038611009999784,7.193334133000008
2,6403007,64,30,3,0.0,VanillaGreedy,41664,39532,0.9488287250384024,0.6732,0.5161290322580645,0.0,0.07848837399998843
2,6403007,64,30,3,0.0,UPGMA,41664,39532,0.9488287250384024,0.9964,0.8387096774193549,0.0,0.42071584600000733
2,6403007,64,30,3,0.0,NeighborJoining,41664,39532,0.9488287250384024,0.9942,0.8387096774193549,0.0,0.4950072270000021
3,6403008,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39216,0.9412442396313364,0.9526,0.847457627118644,0.9988710339999898,7.295795255999991
3,6403008,64,30,3,0.0,VanillaGreedy,41664,39216,0.9412442396313364,0.7564,0.5,0.0,0.06859780900001056
3,6403008,64,30,3,0.0,UPGMA,41664,39216,0.9412442396313364,1.0,0.9032258064516129,0.0,0.5311411890000102
3,6403008,64,30,3,0.0,NeighborJoining,41664,39216,0.9412442396313364,0.956,0.8225806451612903,0.0,0.5551140379999993
4,6403009,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37933,0.9104502688172043,0.9262,0.8907563025210083,1.0761772680000092,6.204307281000013
4,6403009,64,30,3,0.0,VanillaGreedy,41664,37933,0.9104502688172043,0.9098,0.5483870967741935,0.0,0.07077871000001323
4,6403009,64,30,3,0.0,UPGMA,41664,37933,0.9104502688172043,0.7584,0.8709677419354839,0.0,0.5092899260000081
4,6403009,64,30,3,0.0,NeighborJoining,41664,37933,0.9104502688172043,0.9774,0.8225806451612903,0.0,0.47854752000000644
5,6403010,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39015,0.9364199308755761,0.9556,0.8813559322033898,1.0397418750000043,7.3414840229999925
5,6403010,64,30,3,0.0,VanillaGreedy,41664,39015,0.9364199308755761,0.7788,0.467741935483871,0.0,0.05826412199999709
5,6403010,64,30,3,0.0,UPGMA,41664,39015,0.9364199308755761,0.8512,0.8225806451612903,0.0,0.527471079999998
5,6403010,64,30,3,0.0,NeighborJoining,41664,39015,0.9364199308755761,0.9978,0.8225806451612903,0.0,0.47425099800000226
6,6403011,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39492,0.9478686635944701,0.9312,0.7899159663865546,1.0113557040000103,5.355872121999994
6,6403011,64,30,3,0.0,VanillaGreedy,41664,39492,0.9478686635944701,0.7432,0.5806451612903225,0.0,0.05239824399998838
6,6403011,64,30,3,0.0,UPGMA,41664,39492,0.9478686635944701,0.9632,0.8870967741935484,0.0,0.6641574580000054
6,6403011,64,30,3,0.0,NeighborJoining,41664,39492,0.9478686635944701,0.962,0.8870967741935484,0.0,0.4036201949999736
7,6403012,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38387,0.9213469662058372,0.9546,0.8305084745762712,0.883103000999995,6.999161885000007
7,6403012,64,30,3,0.0,VanillaGreedy,41664,38387,0.9213469662058372,0.8104,0.5806451612903225,0.0,0.07597179199999005
7,6403012,64,30,3,0.0,UPGMA,41664,38387,0.9213469662058372,0.9814,0.8709677419354839,0.0,0.6709749340000144
7,6403012,64,30,3,0.0,NeighborJoining,41664,38387,0.9213469662058372,0.9784,0.8387096774193549,0.0,0.44826273299997865
8,6403013,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39290,0.9430203533026114,0.9492,0.7457627118644068,1.0508730560000004,7.14274715199997
8,6403013,64,30,3,0.0,VanillaGreedy,41664,39290,0.9430203533026114,0.713,0.5806451612903225,0.0,0.07607990400003928
8,6403013,64,30,3,0.0,UPGMA,41664,39290,0.9430203533026114,0.994,0.7580645161290323,0.0,0.639768542000013
8,6403013,64,30,3,0.0,NeighborJoining,41664,39290,0.9430203533026114,0.973,0.8870967741935484,0.0,0.47721761000002516
9,6403014,64,30,3,0.0,FullTripletTMC_SMJ16,41664,40112,0.9627496159754224,0.9372,0.7966101694915254,1.2626855020000107,7.252525809000019
9,6403014,64,30,3,0.0,VanillaGreedy,41664,40112,0.9627496159754224,0.6636,0.532258064516129,0.0,0.07967806799996424
9,6403014,64,30,3,0.0,UPGMA,41664,40112,0.9627496159754224,0.9932,0.7741935483870968,0.0,0.4330018260000088
9,6403014,64,30,3,0.0,NeighborJoining,41664,40112,0.9627496159754224,0.9604,0.7580645161290323,0.0,0.725403746999973
10,6403015,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39781,0.9548051075268817,0.9234,0.8135593220338984,1.004995177000012,7.009101096999984
10,6403015,64,30,3,0.0,VanillaGreedy,41664,39781,0.9548051075268817,0.8214,0.5806451612903225,0.0,0.07102214300005016
10,6403015,64,30,3,0.0,UPGMA,41664,39781,0.9548051075268817,0.9942,0.8709677419354839,0.0,0.7875281209999798
10,6403015,64,30,3,0.0,NeighborJoining,41664,39781,0.9548051075268817,0.9398,0.8387096774193549,0.0,0.6101185230000397
11,6403016,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39110,0.9387000768049155,0.9334,0.8235294117647058,1.1158160030000204,5.598359235000032
11,6403016,64,30,3,0.0,VanillaGreedy,41664,39110,0.9387000768049155,0.6234,0.5806451612903225,0.0,0.062457898999980443
11,6403016,64,30,3,0.0,UPGMA,41664,39110,0.9387000768049155,0.7808,0.7741935483870968,0.0,0.4516376109999669
11,6403016,64,30,3,0.0,NeighborJoining,41664,39110,0.9387000768049155,0.7658,0.7903225806451613,0.0,0.4536806070000239
12,6403017,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39608,0.950652841781874,0.9262,0.8739495798319328,1.0103590630000099,6.251771445999964
12,6403017,64,30,3,0.0,VanillaGreedy,41664,39608,0.950652841781874,0.882,0.6129032258064516,0.0,0.059107553000046664
12,6403017,64,30,3,0.0,UPGMA,41664,39608,0.950652841781874,0.9956,0.8548387096774194,0.0,0.432220841000003
12,6403017,64,30,3,0.0,NeighborJoining,41664,39608,0.950652841781874,0.9936,0.8387096774193549,0.0,0.4622751210000047
13,6403018,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39289,0.9429963517665131,0.945,0.864406779661017,1.0690737450000256,7.7625639620000015
13,6403018,64,30,3,0.0,VanillaGreedy,41664,39289,0.9429963517665131,0.5556,0.5161290322580645,0.0,0.06425796600001377
13,6403018,64,30,3,0.0,UPGMA,41664,39289,0.9429963517665131,0.9748,0.8064516129032258,0.0,0.41501372100003664
13,6403018,64,30,3,0.0,NeighborJoining,41664,39289,0.9429963517665131,0.9706,0.8548387096774194,0.0,0.4449499099999912
14,6403019,64,30,3,0.0,FullTripletTMC_SMJ16,41664,37672,0.9041858678955453,0.676,0.7627118644067796,0.9886222459999772,7.192362414999991
14,6403019,64,30,3,0.0,VanillaGreedy,41664,37672,0.9041858678955453,0.771,0.532258064516129,0.0,0.06959287400002268
14,6403019,64,30,3,0.0,UPGMA,41664,37672,0.9041858678955453,0.7674,0.8225806451612903,0.0,0.4367941959999939
14,6403019,64,30,3,0.0,NeighborJoining,41664,37672,0.9041858678955453,0.7882,0.8709677419354839,0.0,0.4238848709999843
15,6403020,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38098,0.9144105222734255,0.921,0.8813559322033898,1.0222198669999898,7.646844747999978
15,6403020,64,30,3,0.0,VanillaGreedy,41664,38098,0.9144105222734255,0.7416,0.5967741935483871,0.0,0.05789246999995612
15,6403020,64,30,3,0.0,UPGMA,41664,38098,0.9144105222734255,0.9656,0.8709677419354839,0.0,0.44521048199999314
15,6403020,64,30,3,0.0,NeighborJoining,41664,38098,0.9144105222734255,0.9672,0.9193548387096774,0.0,0.46585635400003866
16,6403021,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39743,0.953893049155146,0.961,0.8547008547008547,0.9831659089999789,9.50463519799996
16,6403021,64,30,3,0.0,VanillaGreedy,41664,39743,0.953893049155146,0.715,0.6290322580645161,0.0,0.0688412709999966
16,6403021,64,30,3,0.0,UPGMA,41664,39743,0.953893049155146,0.9998,0.9193548387096774,0.0,0.5925714850000077
16,6403021,64,30,3,0.0,NeighborJoining,41664,39743,0.953893049155146,0.9988,0.935483870967742,0.0,0.5984164089999808
17,6403022,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38780,0.9307795698924731,0.9246,0.8571428571428572,1.0193137910000019,5.325825918000021
17,6403022,64,30,3,0.0,VanillaGreedy,41664,38780,0.9307795698924731,0.94,0.467741935483871,0.0,0.06643570200003523
17,6403022,64,30,3,0.0,UPGMA,41664,38780,0.9307795698924731,0.9986,0.8709677419354839,0.0,0.4006635100000153
17,6403022,64,30,3,0.0,NeighborJoining,41664,38780,0.9307795698924731,0.9974,0.8225806451612903,0.0,0.4771113389999755
18,6403023,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38724,0.9294354838709677,0.9214,0.8403361344537815,1.0453271449999875,5.484094426000013
18,6403023,64,30,3,0.0,VanillaGreedy,41664,38724,0.9294354838709677,0.8484,0.5967741935483871,0.0,0.060910412999987784
18,6403023,64,30,3,0.0,UPGMA,41664,38724,0.9294354838709677,0.9956,0.8548387096774194,0.0,0.4243958490000068
18,6403023,64,30,3,0.0,NeighborJoining,41664,38724,0.9294354838709677,0.9422,0.8548387096774194,0.0,0.3976911039999891
19,6403024,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39129,0.9391561059907834,0.9326,0.7457627118644068,0.924542310999982,6.325798690999989
19,6403024,64,30,3,0.0,VanillaGreedy,41664,39129,0.9391561059907834,0.594,0.5691056910569106,0.0,0.04865739500002064
