Simulation_ID,Required_k,Target_Accuracy,Type
1,2,0.3848,Simulated (MAX-Cut)
2,2,0.346,Simulated (MAX-Cut)
3,2,0.5006,Simulated (MAX-Cut)
4,2,0.3404,Simulated (MAX-Cut)
5,2,0.4546,Simulated (MAX-Cut)
6,2,0.4734,Simulated (MAX-Cut)
7,2,0.409,Simulated (MAX-Cut)
8,2,0.4516,Simulated (MAX-Cut)
9,2,0.7364,Simulated (MAX-Cut)
10,2,0.4652,Simulated (MAX-Cut)
11,2,0.3578,Simulated (MAX-Cut)
12,2,0.869,Simulated (MAX-Cut)
13,2,0.4872,Simulated (MAX-Cut)
14,2,0.7388,Simulated (MAX-Cut)
15,2,0.8424,Simulated (MAX-Cut)
16,2,0.4178,Simulated (MAX-Cut)
17,2,0.3734,Simulated (MAX-Cut)
18,2,0.8586,Simulated (MAX-Cut)
19,2,0.5252,Simulated (MAX-Cut)
20,2,0.4742,Simulated (MAX-Cut)
1,5,0.845,Simulated (MAX-Cut)
2,5,0.6382,Simulated (MAX-Cut)
3,5,0.6262,Simulated (MAX-Cut)
4,5,0.8514,Simulated (MAX-Cut)
5,5,0.3634,Simulated (MAX-Cut)
6,5,0.425,Simulated (MAX-Cut)
7,5,0.4836,Simulated (MAX-Cut)
8,5,0.8452,Simulated (MAX-Cut)
9,5,0.6346,Simulated (MAX-Cut)
10,5,0.426,Simulated (MAX-Cut)
11,5,0.3784,Simulated (MAX-Cut)
12,5,0.5172,Simulated (MAX-Cut)
13,5,0.4152,Simulated (MAX-Cut)
14,5,0.562,Simulated (MAX-Cut)
15,5,0.5958,Simulated (MAX-Cut)
16,5,0.8782,Simulated (MAX-Cut)
17,5,0.7692,Simulated (MAX-Cut)
18,5,0.919,Simulated (MAX-Cut)
19,5,0.7278,Simulated (MAX-Cut)
20,5,0.5296,Simulated (MAX-Cut)
1,10,0.9128,Simulated (MAX-Cut)
2,10,0.629,Simulated (MAX-Cut)
3,10,0.5996,Simulated (MAX-Cut)
4,10,0.9698,Simulated (MAX-Cut)
5,10,0.768,Simulated (MAX-Cut)
6,10,0.8454,Simulated (MAX-Cut)
7,10,0.8138,Simulated (MAX-Cut)
8,10,0.5082,Simulated (MAX-Cut)
9,10,0.4794,Simulated (MAX-Cut)
10,10,0.9622,Simulated (MAX-Cut)
11,10,0.4816,Simulated (MAX-Cut)
12,10,0.718,Simulated (MAX-Cut)
13,10,0.9554,Simulated (MAX-Cut)
14,10,0.9748,Simulated (MAX-Cut)
15,10,0.9828,Simulated (MAX-Cut)
16,10,0.5662,Simulated (MAX-Cut)
17,10,0.9126,Simulated (MAX-Cut)
18,10,0.5394,Simulated (MAX-Cut)
19,10,0.94,Simulated (MAX-Cut)
20,10,0.6466,Simulated (MAX-Cut)
1,15,0.7,Simulated (MAX-Cut)
2,15,0.9638,Simulated (MAX-Cut)
3,15,0.9996,Simulated (MAX-Cut)
4,15,0.942,Simulated (MAX-Cut)
5,15,0.7634,Simulated (MAX-Cut)
