p_miss,p_miss_val,k_cand,Raw_Accuracy,Success_Probability
0% Dropout,0.0,5,0.8966,0
0% Dropout,0.0,5,0.4508,0
0% Dropout,0.0,5,0.666,0
0% Dropout,0.0,5,0.6274,0
0% Dropout,0.0,5,0.5136,0
0% Dropout,0.0,5,0.4766,0
0% Dropout,0.0,5,0.3658,0
0% Dropout,0.0,5,0.361,0
0% Dropout,0.0,5,0.562,0
0% Dropout,0.0,5,0.5874,0
0% Dropout,0.0,5,0.591,0
0% Dropout,0.0,5,0.9618,1
0% Dropout,0.0,5,0.8078,0
0% Dropout,0.0,5,0.8466,0
0% Dropout,0.0,5,0.8478,0
0% Dropout,0.0,5,0.9082,1
0% Dropout,0.0,5,0.7398,0
0% Dropout,0.0,5,0.4244,0
0% Dropout,0.0,5,0.8926,0
0% Dropout,0.0,5,0.5542,0
0% Dropout,0.0,5,0.8814,0
0% Dropout,0.0,5,0.5072,0
0% Dropout,0.0,5,0.3802,0
0% Dropout,0.0,5,0.787,0
0% Dropout,0.0,5,0.45,0
0% Dropout,0.0,5,0.5142,0
0% Dropout,0.0,5,0.3784,0
0% Dropout,0.0,5,0.4616,0
0% Dropout,0.0,5,0.3532,0
0% Dropout,0.0,5,0.6014,0
0% Dropout,0.0,10,0.4342,0
0% Dropout,0.0,10,0.812,0
0% Dropout,0.0,10,0.9456,1
0% Dropout,0.0,10,0.6034,0
0% Dropout,0.0,10,0.774,0
0% Dropout,0.0,10,0.5814,0
0% Dropout,0.0,10,0.911,1
0% Dropout,0.0,10,0.7232,0
0% Dropout,0.0,10,0.8728,0
0% Dropout,0.0,10,0.9676,1
0% Dropout,0.0,10,0.943,1
0% Dropout,0.0,10,0.965,1
0% Dropout,0.0,10,0.4684,0
0% Dropout,0.0,10,0.8728,0
0% Dropout,0.0,10,0.602,0
0% Dropout,0.0,10,0.9658,1
0% Dropout,0.0,10,0.7662,0
0% Dropout,0.0,10,0.9404,1
0% Dropout,0.0,10,0.9366,1
0% Dropout,0.0,10,0.6696,0
0% Dropout,0.0,10,0.7848,0
0% Dropout,0.0,10,0.3644,0
0% Dropout,0.0,10,0.8194,0
0% Dropout,0.0,10,0.539,0
0% Dropout,0.0,10,0.9828,1
0% Dropout,0.0,10,0.6126,0
0% Dropout,0.0,10,0.4718,0
0% Dropout,0.0,10,0.9688,1
0% Dropout,0.0,10,0.8984,0
0% Dropout,0.0,10,0.5138,0
0% Dropout,0.0,15,0.9158,1
0% Dropout,0.0,15,0.5486,0
0% Dropout,0.0,15,0.5248,0
0% Dropout,0.0,15,0.9914,1
0% Dropout,0.0,15,0.9662,1
0% Dropout,0.0,15,0.971,1
0% Dropout,0.0,15,0.9492,1
0% Dropout,0.0,15,0.9416,1
0% Dropout,0.0,15,0.9932,1
0% Dropout,0.0,15,0.946,1
0% Dropout,0.0,15,0.5404,0
0% Dropout,0.0,15,0.9218,1
0% Dropout,0.0,15,0.8476,0
0% Dropout,0.0,15,0.847,0
0% Dropout,0.0,15,0.647,0
0% Dropout,0.0,15,0.9828,1
0% Dropout,0.0,15,0.667,0
0% Dropout,0.0,15,0.6756,0
0% Dropout,0.0,15,0.9642,1
0% Dropout,0.0,15,0.9226,1
0% Dropout,0.0,15,0.9972,1
0% Dropout,0.0,15,0.9638,1
0% Dropout,0.0,15,0.7964,0
0% Dropout,0.0,15,0.5996,0
0% Dropout,0.0,15,0.937,1
0% Dropout,0.0,15,0.9734,1
0% Dropout,0.0,15,0.4612,0
0% Dropout,0.0,15,0.9856,1
0% Dropout,0.0,15,0.6908,0
0% Dropout,0.0,15,0.7252,0
0% Dropout,0.0,20,0.9964,1
0% Dropout,0.0,20,0.945,1
0% Dropout,0.0,20,0.997,1
0% Dropout,0.0,20,0.7224,0
0% Dropout,0.0,20,0.9686,1
0% Dropout,0.0,20,0.9988,1
0% Dropout,0.0,20,0.9696,1
0% Dropout,0.0,20,0.9372,1
0% Dropout,0.0,20,0.581,0
0% Dropout,0.0,20,0.997,1
0% Dropout,0.0,20,0.9974,1
0% Dropout,0.0,20,0.9332,1
0% Dropout,0.0,20,0.9678,1
0% Dropout,0.0,20,0.957,1
0% Dropout,0.0,20,0.9784,1
0% Dropout,0.0,20,0.945,1
0% Dropout,0.0,20,0.816,0
0% Dropout,0.0,20,0.9704,1
0% Dropout,0.0,20,0.9652,1
0% Dropout,0.0,20,0.6132,0
0% Dropout,0.0,20,0.8218,0
0% Dropout,0.0,20,0.5608,0
0% Dropout,0.0,20,0.604,0
0% Dropout,0.0,20,0.9964,1
0% Dropout,0.0,20,0.5382,0
0% Dropout,0.0,20,0.7908,0
0% Dropout,0.0,20,0.9936,1
0% Dropout,0.0,20,0.9342,1
0% Dropout,0.0,20,0.8748,0
0% Dropout,0.0,20,0.9882,1
0% Dropout,0.0,30,0.999,1
0% Dropout,0.0,30,0.9626,1
0% Dropout,0.0,30,0.963,1
0% Dropout,0.0,30,0.9962,1
0% Dropout,0.0,30,1.0,1
0% Dropout,0.0,30,0.9778,1
0% Dropout,0.0,30,0.997,1
0% Dropout,0.0,30,0.974,1
0% Dropout,0.0,30,1.0,1
0% Dropout,0.0,30,0.9972,1
0% Dropout,0.0,30,0.9964,1
0% Dropout,0.0,30,0.9992,1
0% Dropout,0.0,30,0.9948,1
0% Dropout,0.0,30,1.0,1
0% Dropout,0.0,30,0.9924,1
0% Dropout,0.0,30,0.9918,1
0% Dropout,0.0,30,1.0,1
0% Dropout,0.0,30,0.9976,1
0% Dropout,0.0,30,0.9722,1
0% Dropout,0.0,30,0.9922,1
0% Dropout,0.0,30,0.9684,1
0% Dropout,0.0,30,1.0,1
0% Dropout,0.0,30,0.9996,1
0% Dropout,0.0,30,0.9984,1
0% Dropout,0.0,30,0.945,1
0% Dropout,0.0,30,0.9634,1
0% Dropout,0.0,30,0.9522,1
0% Dropout,0.0,30,1.0,1
0% Dropout,0.0,30,0.887,0
0% Dropout,0.0,30,0.9996,1
0% Dropout,0.0,40,0.9922,1
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,40,0.9326,1
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,40,0.9966,1
0% Dropout,0.0,40,0.9732,1
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,40,0.9662,1
0% Dropout,0.0,40,0.9884,1
0% Dropout,0.0,40,0.8114,0
0% Dropout,0.0,40,0.9136,1
0% Dropout,0.0,40,0.7846,0
0% Dropout,0.0,40,0.9694,1
0% Dropout,0.0,40,0.9996,1
0% Dropout,0.0,40,0.915,1
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,40,0.9964,1
0% Dropout,0.0,40,0.9764,1
0% Dropout,0.0,40,0.9928,1
0% Dropout,0.0,40,0.8928,0
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,40,0.996,1
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,40,0.9754,1
0% Dropout,0.0,40,0.9688,1
0% Dropout,0.0,40,0.9994,1
0% Dropout,0.0,40,0.996,1
0% Dropout,0.0,40,0.9996,1
0% Dropout,0.0,40,0.991,1
0% Dropout,0.0,40,1.0,1
0% Dropout,0.0,50,0.976,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,0.9724,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,0.9968,1
0% Dropout,0.0,50,0.997,1
0% Dropout,0.0,50,0.996,1
0% Dropout,0.0,50,0.9984,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,0.9966,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,0.979,1
0% Dropout,0.0,50,0.9698,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,0.9578,1
0% Dropout,0.0,50,0.9974,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,1.0,1
0% Dropout,0.0,50,0.9962,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,0.8254,0
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,0.9936,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
0% Dropout,0.0,75,1.0,1
