Algorithm,RF_Score
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.015748031496062992
MAX-Cut,0.007874015748031496
MAX-Cut,0.015748031496062992
MAX-Cut,0.015748031496062992
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.031496062992125984
MAX-Cut,0.015748031496062992
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.023622047244094488
MAX-Cut,0.023622047244094488
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.015748031496062992
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.015748031496062992
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.03937007874015748
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.015748031496062992
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.015748031496062992
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.015748031496062992
MAX-Cut,0.023622047244094488
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.015748031496062992
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.023622047244094488
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.015748031496062992
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.0
MAX-Cut,0.007874015748031496
MAX-Cut,0.015748031496062992
MAX-Cut,0.015748031496062992
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
MAX-Cut,0.007874015748031496
Vanilla Greedy,0.28225806451612906
Vanilla Greedy,0.3877551020408163
Vanilla Greedy,0.27710843373493976
Vanilla Greedy,0.29838709677419356
Vanilla Greedy,0.3387096774193548
Vanilla Greedy,0.3333333333333333
Vanilla Greedy,0.26104417670682734
Vanilla Greedy,0.3089430894308943
Vanilla Greedy,0.3306122448979592
Vanilla Greedy,0.3387096774193548
Vanilla Greedy,0.3629032258064516
Vanilla Greedy,0.3253012048192771
Vanilla Greedy,0.26104417670682734
Vanilla Greedy,0.2874493927125506
Vanilla Greedy,0.30120481927710846
Vanilla Greedy,0.32
Vanilla Greedy,0.3225806451612903
Vanilla Greedy,0.2845528455284553
Vanilla Greedy,0.3089430894308943
Vanilla Greedy,0.3870967741935484
Vanilla Greedy,0.344
Vanilla Greedy,0.3117408906882591
Vanilla Greedy,0.4065040650406504
Vanilla Greedy,0.256
Vanilla Greedy,0.27346938775510204
Vanilla Greedy,0.3815261044176707
Vanilla Greedy,0.4065040650406504
Vanilla Greedy,0.248
