Algorithm,Triplet_Score
MAX-Cut,1.0
MAX-Cut,0.9992
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.98
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9992
MAX-Cut,0.9758
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,0.9964
MAX-Cut,0.9966
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9996
MAX-Cut,0.9992
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9996
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9958
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9988
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9968
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,0.9994
MAX-Cut,0.9954
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9996
MAX-Cut,0.9972
MAX-Cut,0.9998
MAX-Cut,1.0
MAX-Cut,1.0
MAX-Cut,0.9996
MAX-Cut,1.0
MAX-Cut,1.0
Vanilla Greedy,0.8200000000000002
Vanilla Greedy,0.771
Vanilla Greedy,0.8313333333333334
Vanilla Greedy,0.787
Vanilla Greedy,0.7983333333333333
Vanilla Greedy,0.8099999999999999
Vanilla Greedy,0.8066666666666668
Vanilla Greedy,0.8043333333333332
Vanilla Greedy,0.7526666666666667
Vanilla Greedy,0.7953333333333332
Vanilla Greedy,0.7866666666666666
Vanilla Greedy,0.8036666666666666
Vanilla Greedy,0.7983333333333333
Vanilla Greedy,0.8206666666666668
Vanilla Greedy,0.8203333333333335
Vanilla Greedy,0.7916666666666666
Vanilla Greedy,0.8203333333333335
Vanilla Greedy,0.8023333333333333
Vanilla Greedy,0.7519999999999999
Vanilla Greedy,0.7696666666666667
Vanilla Greedy,0.7766666666666667
Vanilla Greedy,0.8046666666666665
Vanilla Greedy,0.7679999999999999
Vanilla Greedy,0.8226666666666667
Vanilla Greedy,0.8203333333333332
Vanilla Greedy,0.725
Vanilla Greedy,0.7769999999999998
Vanilla Greedy,0.806
